Country,Year,Land animals slaughtered for meat
United Kingdom,1969,365992384
United Kingdom,1970,379883552
United Kingdom,1971,386254496
United Kingdom,1972,430889248
United Kingdom,1973,430894592
United Kingdom,1974,427629376
United Kingdom,1975,408140736
United Kingdom,1976,425876000
United Kingdom,1977,460529984
United Kingdom,1978,461534016
United Kingdom,1979,475639008
United Kingdom,1980,474732992
United Kingdom,1981,474343008
United Kingdom,1982,505407008
United Kingdom,1983,495412992
United Kingdom,1984,517898304
United Kingdom,1985,536024544
United Kingdom,1986,557725504
United Kingdom,1987,589582272
United Kingdom,1988,623747136
United Kingdom,1989,576859648
United Kingdom,1990,603838592
United Kingdom,1991,629329664
United Kingdom,1992,736086976
United Kingdom,1993,762167488
United Kingdom,1994,801449024
United Kingdom,1995,824676992
United Kingdom,1996,860627008
United Kingdom,1997,884444992
United Kingdom,1998,893841984
United Kingdom,1999,884455488
United Kingdom,2000,876622592
United Kingdom,2001,892120896
United Kingdom,2002,889674816
United Kingdom,2003,907838016
United Kingdom,2004,908224000
United Kingdom,2005,930500992
United Kingdom,2006,907635840
United Kingdom,2007,894870976
United Kingdom,2008,881203136
United Kingdom,2009,895495936
United Kingdom,2010,959409984
United Kingdom,2011,958424832
United Kingdom,2012,978819712
United Kingdom,2013,1003913600
United Kingdom,2014,999897152
United Kingdom,2015,1057739072
United Kingdom,2016,1108584064
United Kingdom,2017,1147762944
United Kingdom,2018,1195030912
United Kingdom,2019,1166693760
United Kingdom,2020,1210861696
United Kingdom,2021,1222381568
United Kingdom,2022,1190216576
United Kingdom,2023,1196560384
